Name;Code;E;N;Z
STA 3+00;A;475928.7047;9699491.418;6.13
STA 3+00;A1;475928.5561;9699490.672;6.165
STA 3+00;A2;475928.7915;9699489.668;6.484
STA 3+00;A3;475928.6697;9699488.828;6.47
STA 3+00;A4;475928.5808;9699487.996;6.359
STA 3+00;T1;475928.8788;9699487.314;6.096
STA 3+00;D1;475929.2169;9699486.701;5.217
STA 3+00;D2;475929.7265;9699485.444;4.967
STA 3+00;D3;475930.2357;9699484.247;5.252
STA 3+00;T2;475930.5739;9699483.633;6.056
STA 3+00;B1;475930.7382;9699482.768;6.081
STA 3+00;B2;475930.6854;9699482.056;6.042
STA 3+00;B3;475930.8803;9699481.125;6.072
STA 3+00;B4;475930.7806;9699480.124;6.061
STA 3+00;B;475930.6114;9699479.195;6.087
